# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2005_bis_2011_CSV
# Titel (Titel der Datei): Traktanden SR 2005 bis 2011 ohne Beschlüsse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte zu einer Stadtratssitzung der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2005-bis-2011-ohne-beschluesse.txt/download
# Dateigrösse (Angabe in Bytes): 798720
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Die Datensätze vom Jahr 2005 bis 2012 enthalten noch keine Beschlüsse und die Beschlussnummern sind nicht vollständig aufgeführt. Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.


Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Datum
7;"Motion Fraktion BDP/CVP (Henri-Charles Beuchat, CVP/Kurt Hirsbrunner, BDP): Beschriftungstafeln Bärenpark sollen bleiben; Ablehnung  (SUE: Nause)  ";SRB 2011-511;Beschlossen;17.11.2011
8;"Motion Beat Gubser (EDU): Gegenkundgebungen am selben Tag verbieten; Ablehnung  (SUE: Nause)  verschoben vom 20.10.2011";SRB 2011-512;Beschlossen;17.11.2011
9;"Kleine Anfrage Fraktion SP/JUSO (Giovanna Battagliero, SP): Untersuchung der Ereignisse in Zusammenhang mit dem Polizeieinsatz vor der Reitschule vom 22. September 2011 (SUE: Nause)  ";SRB 2011-513;Beschlossen;17.11.2011
10;"Kleine Anfrage Fraktion SVPplus (Roland Jakob, SVP): Demokratisches Recht mit Füssen getreten! Zum Ersten (SUE: Nause)  ";SRB 2011-514;Beschlossen;17.11.2011
11;"Kleine Anfrage Jimy Hofer (parteilos): Unbewilligte rechtsfreie Demonstration (SUE: Nause)";SRB 2011-515;Beschlossen;17.11.2011
12;"Kleine Anfrage (Mario Imhof, FDP/Bernhard Eicher, JF): Weshalb toleriert der Gemeinderat unbewilligte und bewaffnete Demonstrationszüge? (SUE: Nause)  ";SRB 2011-516;Beschlossen;17.11.2011
13;"Leistungsvertrag mit dem Verein Interessengemeinschaft Kulturraum Reitschule, IKuR, für die Periode 2012-2015; Verpflichtungskredit  (SBK: Jost / PRD: Tschäppät)";SRB 2011-517;Beschlossen;17.11.2011
14;"Motion Robert Meyer (SD): Die traditionelle 1.-August-Feier muss bleiben - eine Streichung wäre kleinlich und peinlich für Bern als Bundesstadt; Annahme und gleichzeitig Abschreibung  (GuB: Tschäppät)  ";SRB 2011-518;Beschlossen;17.11.2011
15;"Motion Beat Gubser (EDU): Würdige 1.-August-Feier auf dem Münsterplatz; Annahme und gleichzeitig Abschreibung  (GuB: Tschäppät)";SRB 2011-519;Beschlossen;17.11.2011
16;"Motion Fraktion GB/JA! (Lea Bill/Rahel Ruch, JA!): Fotowettbewerb 'Ein anderes Bern'; Annahme  (PRD: Tschäppät)";SRB 2011-520;Beschlossen;17.11.2011
17;"Zweijährige Leistungsverträge 2012-2013 im Obdachlosenbereich; vier Verpflichtungskredite in Stadtratskompetenz  (SBK: Jaisli / BSS: Olibet)";SRB 2011-521;Beschlossen;17.11.2011
18;"Interfraktionelle Motion SP/JUSO, GB/JA! (Corinne Mathieu, SP / Christine Michel, GB): Die Strukturreform 'Einheitsschulkommission' ist umgehend zu beenden; Ablehnung  (BSS: Olibet)  ";SRB 2011-522;Beschlossen;17.11.2011
19;"Projekt Strukturreform Volksschule der Stadt Bern: Zwischenbericht  (SBK: Bertschy / BSS: Olibet)";SRB 2011-523;Beschlossen;17.11.2011
20;"Motion Fraktion SVPplus (Ueli Jaisli/Roland Jakob, SVP): Stopp! Keine Mehrjahrgangsklassen an Stadtberner Schulen; Ablehnung  (BSS: Olibet)";SRB 2011-524;Beschlossen;17.11.2011
21;"Kleine Anfrage Mario Imhof (FDP): Missachtung des Stadtratsbeschlusses vom 19. August 2010 zur Dringlichen Motion Fraktion FDP - Neugestaltung Abgang Neuengass-Unterführung (FPI: Hayoz)  ";SRB 2011-525;Beschlossen;17.11.2011
22;"Motion Fraktion FDP (Mario Imhof, FDP) vom 6. Mai 2010: Neugestaltung Abgang Neuengass-Unterführung; Begründungsbericht  (FPI: Hayoz) ";SRB 2011-526;Beschlossen;17.11.2011
